GEONAMEID;NAME;ASCIINAME;ALTERNATENAMES;LATITUDE;LONGITUDE;FEATURE_CLASS;FEATURE_CODE;COUNTRY_CODE;CC2;ADMIN1_CODE;ADMIN2_CODE;ADMIN3_CODE;ADMIN4_CODE;POPULATION;ELEVATION;DEM;TIMEZONE;MODIFICATION_DATE
10375924;Kudos Beach;Kudos Beach;;44.26234;28.62165;T;BCH;RO;;14;60419;;;0;;0;Europe/Bucharest;2016-02-07
10375925;Delfinariu;Delfinariu;;44.20562;28.64296;S;ZOO;RO;;14;60419;;;0;;5;Europe/Bucharest;2016-02-07
10375926;Karting Constanta;Karting Constanta;;44.202;28.63998;L;AMUS;RO;;14;;;;0;;8;Europe/Bucharest;2015-07-10
10375928;Plaja Modern;Plaja Modern;;44.17956;28.65638;T;BCH;RO;;14;60419;;;0;;3;Europe/Bucharest;2016-02-07
10375929;Zoom Beach;Zoom Beach;;44.19279;28.65582;T;BCH;RO;;;;;;0;;1;Europe/Bucharest;2015-07-10
10400707;Little Texas;Little Texas;;47.17121;27.59944;S;HTL;RO;;23;95060;;;0;0;91;Europe/Bucharest;2016-02-07
10400813;Hotel Adriatico;Hotel Adriatico;;45.77774;21.24303;S;HTL;RO;;36;155243;;;0;0;90;Europe/Bucharest;2016-02-07
10402318;Oxford Timisoara;Oxford Timisoara;;45.76363;21.26721;S;HTL;RO;;36;155243;;;0;0;86;Europe/Bucharest;2016-02-07
10629807;Mălaia;Malaia;;45.50633;26.12805;T;PK;RO;;11;46180;;;0;1662;1646;Europe/Bucharest;2016-02-07
10629808;Siriu;Siriu;;45.52355;26.14594;T;PK;RO;;11;49484;;;0;1657;1649;Europe/Bucharest;2016-02-07
10629809;Tătăruț;Tatarut;;45.52197;26.08847;T;PK;RO;;09;42183;;;0;1411;1401;Europe/Bucharest;2016-02-07
10629810;fața Crasnei;fata Crasnei;;45.54866;26.10145;T;PK;RO;;15;;;;0;1332;1321;Europe/Bucharest;2015-08-27
10629812;Ghiței;Ghitei;;45.5649;26.08882;T;PK;RO;;09;42183;;;0;1253;1249;Europe/Bucharest;2016-02-07
10629813;Gâlma;Galma;;45.46494;26.116;T;PK;RO;;11;;;;0;1202;1204;Europe/Bucharest;2015-08-27
10630087;Vf. Penteleu;Vf. Penteleu;;45.60288;26.4168;T;PK;RO;;11;47079;;;0;1772;1749;Europe/Bucharest;2016-02-07
10630088;Viforâta;Viforata;;45.59712;26.41988;T;PK;RO;;11;47079;;;0;1667;1665;Europe/Bucharest;2016-02-07
10630089;Coriiu;Coriiu;;45.6469;26.40635;T;PK;RO;;11;47079;;;0;1608;1589;Europe/Bucharest;2016-02-07
10630090;Ciulianeș;Ciulianes;;45.66212;26.39286;T;PK;RO;;11;47079;;;0;1602;1590;Europe/Bucharest;2016-02-07
10630091;Crucea Fetei;Crucea Fetei;;45.63475;26.41784;T;PK;RO;;11;47079;;;0;1577;1558;Europe/Bucharest;2016-02-07
10630092;Bălescu;Balescu;;45.65444;26.40817;T;PK;RO;;11;47079;;;0;1557;1545;Europe/Bucharest;2016-02-07
10630093;Piciorul Caprei;Piciorul Caprei;;45.57345;26.4531;T;PK;RO;;11;47079;;;0;1520;1511;Europe/Bucharest;2016-02-07
10630094;Ciuta Înaltă;Ciuta Inalta;;45.60082;26.47203;T;PK;RO;;11;47079;;;0;1444;1428;Europe/Bucharest;2016-02-07
10630095;Vf. Podul Calului;Vf. Podul Calului;;45.52822;26.35689;T;PK;RO;;11;47079;;;0;1439;1426;Europe/Bucharest;2016-02-07
10630096;Cernatu;Cernatu;;45.59344;26.38938;T;PK;RO;;11;47079;;;0;1423;1409;Europe/Bucharest;2016-02-07
10630097;Bălescuțu;Balescutu;;45.65905;26.42542;T;PK;RO;;11;47079;;;0;1396;1434;Europe/Bucharest;2016-02-07
10630098;Monteoru;Monteoru;;45.55481;26.43522;T;PK;RO;;11;47079;;;0;1384;1365;Europe/Bucharest;2016-02-07
10630099;Cașoca;Casoca;;45.50761;26.336;T;PK;RO;;11;47079;;;0;1327;1316;Europe/Bucharest;2016-02-07
10630100;Piscu Curselor;Piscu Curselor;;45.54624;26.45578;T;PK;RO;;11;47079;;;0;1235;1217;Europe/Bucharest;2016-02-07
10630101;Strigoaiei;Strigoaiei;;45.5325;26.27509;T;PK;RO;;11;49484;;;0;1227;1220;Europe/Bucharest;2016-02-07
10630102;Podu Grecilor;Podu Grecilor;;45.51294;26.40029;T;PK;RO;;11;47079;;;0;1222;1214;Europe/Bucharest;2016-02-07
10630103;Brânzaru;Branzaru;;45.48728;26.30784;T;PK;RO;;11;49484;;;0;1198;1196;Europe/Bucharest;2016-02-07
10630104;Ivănețu;Ivanetu;;45.48882;26.48985;T;PK;RO;;11;45539;;;0;1191;1172;Europe/Bucharest;2016-02-07
10630105;Țărcătoarea;Tarcatoarea;;45.48228;26.3446;T;PK;RO;;11;47079;;;0;1116;1115;Europe/Bucharest;2016-02-07
10630106;Lacului;Lacului;;45.495;26.3628;T;PK;RO;;11;47079;;;0;1108;1100;Europe/Bucharest;2016-02-07
10630107;Mortafu;Mortafu;;45.52899;26.51895;T;PK;RO;;11;47079;;;0;1096;1095;Europe/Bucharest;2016-02-07
10630108;Colcovan;Colcovan;;45.49952;26.48623;T;PK;RO;;11;47079;;;0;1088;1103;Europe/Bucharest;2016-02-07
10630109;Goru;Goru;;45.80029;26.41927;T;PK;RO;;40;177003;;;0;1785;1754;Europe/Bucharest;2016-02-07
10630110;Lăcăuți;Lacauti;;45.8235;26.37539;T;PK;RO;;40;;;;0;1777;1769;Europe/Bucharest;2015-09-01
10630111;Giurgiu;Giurgiu;;45.75711;26.44329;T;PK;RO;;40;;;;0;1721;1712;Europe/Bucharest;2015-09-01
10630112;Manișca Mare;Manisca Mare;;45.80144;26.34637;T;PK;RO;;15;63526;;;0;1677;1669;Europe/Bucharest;2016-02-07
10630113;Pietrosu;Pietrosu;;45.78554;26.50998;T;PK;RO;;40;177003;;;0;1676;1651;Europe/Bucharest;2016-02-07
10630114;Vf. Zboina Frumoasă;Vf. Zboina Frumoasa;;45.73471;26.56491;T;PK;RO;;40;177003;;;0;1657;1643;Europe/Bucharest;2016-02-07
10630115;Cristianu;Cristianu;;45.87764;26.55232;T;PK;RO;;40;178910;;;0;1629;1608;Europe/Bucharest;2016-02-07
10630116;Păișaua Arsă;Paisaua Arsa;;45.80267;26.4661;T;PK;RO;;40;177003;;;0;1592;1573;Europe/Bucharest;2016-02-07
10630117;Zburătura;Zburatura;;45.85612;26.44378;T;PK;RO;;40;178910;;;0;1590;1572;Europe/Bucharest;2016-02-07
10630118;Vf. cu Lespezi;Vf. cu Lespezi;;45.78007;26.52005;T;PK;RO;;40;177003;;;0;1583;1505;Europe/Bucharest;2016-02-07
10630119;Păișaua Înaltă;Paisaua Inalta;;45.82396;26.45199;T;PK;RO;;40;177003;;;0;1578;1500;Europe/Bucharest;2016-02-07
10630120;Căbălașu;Cabalasu;;45.78304;26.46025;T;PK;RO;;40;177003;;;0;1557;1568;Europe/Bucharest;2016-02-07
10630121;Mârdanu;Mardanu;;45.82218;26.4066;T;PK;RO;;40;177003;;;0;1550;1540;Europe/Bucharest;2016-02-07
10630122;Lujeru;Lujeru;;45.8606;26.37695;T;PK;RO;;40;;;;0;1547;1513;Europe/Bucharest;2015-09-01
10630123;Bulboace;Bulboace;;45.84593;26.49527;T;PK;RO;;40;177003;;;0;1548;1516;Europe/Bucharest;2016-02-07
10630124;Baba;Baba;;45.87411;26.3885;T;PK;RO;;40;178117;;;0;1544;1530;Europe/Bucharest;2016-02-07
10630125;Stogu Mare;Stogu Mare;;45.88956;26.37724;T;PK;RO;;15;;;;0;1527;1518;Europe/Bucharest;2015-09-01
10630126;Clăbuci;Clabuci;;45.77179;26.36807;T;PK;RO;;15;63526;;;0;1516;1601;Europe/Bucharest;2016-02-07
10630127;Tichertu;Tichertu;;45.84179;26.50663;T;PK;RO;;40;177003;;;0;1508;1500;Europe/Bucharest;2016-02-07
10630128;Mușat;Musat;;45.94621;26.3909;T;PK;RO;;15;64602;;;0;1503;1496;Europe/Bucharest;2016-02-07
10630129;Verdele;Verdele;;45.79747;26.5108;T;PK;RO;;40;177003;;;0;1488;1518;Europe/Bucharest;2016-02-07
10630130;Pietrele Înșirate;Pietrele Insirate;;45.65087;26.51905;T;PK;RO;;11;;;;0;1476;1468;Europe/Bucharest;2015-09-01
10630131;Lapoșu de Sus;Laposu de Sus;;45.73676;26.59146;T;PK;RO;;40;177003;;;0;1455;1446;Europe/Bucharest;2016-02-07
10630132;Frumoasele;Frumoasele;;45.68755;26.58133;T;PK;RO;;40;176944;;;0;1423;1363;Europe/Bucharest;2016-02-07
10630133;Pârâul Bradului;Paraul Bradului;;45.8597;26.43406;T;PK;RO;;40;178910;;;0;1420;1399;Europe/Bucharest;2016-02-07
10630134;Colocani;Colocani;;45.83581;26.58787;T;PK;RO;;40;177003;;;0;1395;1367;Europe/Bucharest;2016-02-07
10630135;Titila;Titila;;45.7317;26.6139;T;PK;RO;;40;176944;;;0;1368;1359;Europe/Bucharest;2016-02-07
10630136;Preluncu;Preluncu;;45.6525;26.63825;T;PK;RO;;40;178475;;;0;1351;1325;Europe/Bucharest;2016-02-07
10630137;Zboina Neagră;Zboina Neagra;;46.01494;26.57588;T;PK;RO;;40;178117;;;0;1350;1360;Europe/Bucharest;2016-02-07
10630138;Tisaru Mare;Tisaru Mare;;45.93201;26.54037;T;PK;RO;;40;178910;;;0;1280;1219;Europe/Bucharest;2016-02-07
10630139;Tisaru Mic;Tisaru Mic;;45.93366;26.55645;T;PK;RO;;40;178910;;;0;1268;1216;Europe/Bucharest;2016-02-07
10630140;La Table;La Table;;45.83882;26.5649;T;PK;RO;;40;178910;;;0;1239;1224;Europe/Bucharest;2016-02-07
10630141;Piscul Mesteacănului;Piscul Mesteacanului;;45.9556;26.46807;T;PK;RO;;40;178117;;;0;1221;1201;Europe/Bucharest;2016-02-07
10630142;Pietricelele;Pietricelele;;45.90425;26.59948;T;PK;RO;;40;178117;;;0;1163;1145;Europe/Bucharest;2016-02-07
10630143;Arsura;Arsura;;45.99838;26.58707;T;PK;RO;;40;177762;;;0;1152;1154;Europe/Bucharest;2016-02-07
10630144;Condratu;Condratu;;45.87212;26.46933;T;PK;RO;;40;178910;;;0;1146;1428;Europe/Bucharest;2016-02-07
10630145;Locoțeilor;Locoteilor;;45.94743;26.61388;T;PK;RO;;40;178117;;;0;1140;1113;Europe/Bucharest;2016-02-07
10630146;Fântână lui Bucur;Fantana lui Bucur;;45.94472;26.63948;T;PK;RO;;40;178117;;;0;1113;1101;Europe/Bucharest;2016-02-07
10630147;Piatra Albă;Piatra Alba;;45.97476;26.53302;T;PK;RO;;40;178117;;;0;1086;1081;Europe/Bucharest;2016-02-07
10630148;Țiua Golașă;Tiua Golasa;;45.96832;26.62122;T;PK;RO;;40;177762;;;0;1071;1058;Europe/Bucharest;2016-02-07
10630226;University of Bucharest;University of Bucharest;;44.43556;26.10124;S;UNIV;RO;;10;179132;11055044;;0;;88;Europe/Bucharest;2016-02-07
10792571;Botoş;Botos;;47.5132;25.22744;P;PPL;RO;;34;151451;;;0;;883;Europe/Bucharest;2016-02-07
10793814;Cristiana Building;Cristiana Building;;45.64492;25.59724;S;BLDG;RO;;09;40198;;;0;;581;Europe/Bucharest;2016-02-07
10793966;Gara Socola;Gara Socola;;47.13886;27.60652;S;RSTN;RO;;23;95060;;;0;;41;Europe/Bucharest;2016-02-07
10860700;Bobărești;Bobaresti;;46.34215;22.98748;P;PPL;RO;;01;7446;;;46;;904;Europe/Bucharest;2015-11-04
10861082;Bubești;Bubesti;;46.50004;22.706;P;PPL;RO;;01;2381;;;101;;1045;Europe/Bucharest;2015-11-07
10861115;Ștefanca;Stefanca;;46.36852;23.13076;P;PPL;RO;;01;3039;;;28;;764;Europe/Bucharest;2015-11-08
10861116;Jurcuiești;Jurcuiesti;;46.29448;23.1833;P;PPL;RO;;01;3459;;;6;;1029;Europe/Bucharest;2015-11-08
10861117;Valea Cerbului;Valea Cerbului;;46.24;23.11755;P;PPL;RO;;01;3459;;;59;;706;Europe/Bucharest;2015-11-08
10861181;Valea Făgetului;Valea Fagetului;;46.35369;23.51385;P;PPL;RO;;01;6627;;;37;;646;Europe/Bucharest;2015-11-08
10861183;Dăroaia;Daroaia;;46.30472;23.05125;P;PPL;RO;;01;6761;;;570;;592;Europe/Bucharest;2015-11-08
10861406;Furduiești;Furduiesti;;46.31271;22.99104;P;PPL;RO;;01;7446;;;13;;886;Europe/Bucharest;2015-11-09
10861430;Vințu de Jos;Vintu de Jos;Alvinc,Vint,Vinț,Winz;45.99462;23.48612;P;PPLA2;RO;;01;8826;;;3113;;215;Europe/Bucharest;2015-11-09
10861431;Mătăcina;Matacina;;46.03544;23.41997;P;PPL;RO;;01;8826;;;3;;482;Europe/Bucharest;2015-11-09
10903356;Aluniș;Alunis;Cseralja;46.09351;21.48926;P;PPL;RO;;02;12920;;;929;;150;Europe/Bucharest;2015-11-10
10904389;Leștioara;Lestioara;Kisles;46.27379;22.56736;P;PPL;RO;;02;11058;;;42;;249;Europe/Bucharest;2015-11-10
10908163;Satu Mic;Satu Mic;Dezsohaza,Dezsőháza;46.34932;21.89549;P;PPL;RO;;02;12288;;;209;;129;Europe/Bucharest;2015-11-10
10918028;Avram Iancu;Avram Iancu;Aciua,Aciuva,Acsva,Ácsva;46.35217;22.454;P;PPL;RO;;02;12689;;;634;;291;Europe/Bucharest;2015-11-10
10940786;Făgetu;Fagetu;;44.90616;24.91159;P;PPL;RO;;03;13301;;;1119;;291;Europe/Bucharest;2015-11-10
10941886;Valea Mărului;Valea Marului;;44.96703;24.77563;P;PPL;RO;;03;14851;;;439;;324;Europe/Bucharest;2015-11-11
10941900;Poienari;Poienari;;45.07034;24.53056;P;PPLA2;RO;;03;17913;;;530;;341;Europe/Bucharest;2015-11-11
10941903;Lintești;Lintesti;;45.00477;24.61178;P;PPL;RO;;03;15983;;;118;;533;Europe/Bucharest;2015-11-11
10941904;Dobrogostea;Dobrogostea;;44.92941;24.78355;P;PPL;RO;;03;17101;;;812;;304;Europe/Bucharest;2015-11-11
10941905;Mozacu;Mozacu;;44.6119;25.16504;P;PPL;RO;;03;17726;;;351;;199;Europe/Bucharest;2015-11-11
10941906;Oarja;Oarja;;44.76053;24.97596;P;PPLA2;RO;;03;17824;;;2341;;269;Europe/Bucharest;2015-11-11
10941923;Romana;Romana;;44.89659;24.54958;P;PPL;RO;;03;19392;;;135;;446;Europe/Bucharest;2015-11-12
10941927;Bijghir;Bijghir;;46.60185;27.01859;P;PPL;RO;;04;21668;;;1952;;180;Europe/Bucharest;2015-11-13
10941938;Gârla Anei;Garla Anei;;46.55391;27.09283;P;PPL;RO;;04;25932;;;177;;209;Europe/Bucharest;2015-11-13
10941939;Făncica;Fancica;Erfancsika,Érfancsika;47.32381;22.23266;P;PPL;RO;;05;27169;;;339;;158;Europe/Bucharest;2015-11-13
10941966;Dumbrava;Dumbrava;;44.63745;24.15159;P;PPL;RO;;39;170952;;;212;;199;Europe/Bucharest;2015-11-14
10941968;Chirițești;Chiritesti;;45.27429;26.0215;P;PPL;RO;;30;133795;;;54;;442;Europe/Bucharest;2015-11-14
10941969;Izvoarele;Izvoarele;;45.28376;26.00119;P;PPLA2;RO;;30;133795;;;2329;;528;Europe/Bucharest;2015-11-14
10941970;Satu Nou;Satu Nou;;46.68888;27.29924;P;PPL;RO;;04;23207;;;556;;195;Europe/Bucharest;2015-11-15
10941973;Sâniob;Saniob;Szentjobb;47.26461;22.12778;P;PPLA2;RO;;05;28610;;;1391;;124;Europe/Bucharest;2015-11-15
10941978;Hălmăsău;Halmasau;Helmesaljavoelgy,Helmesaljavölgy;47.34464;24.13798;P;PPL;RO;;06;34547;;;275;;444;Europe/Bucharest;2015-11-16
10942049;Lișmănița;Lismanita;;48.13977;26.65661;P;PPL;RO;;07;35946;;;599;;214;Europe/Bucharest;2015-11-16
10942053;Movileni;Movileni;;48.13489;26.59582;P;PPL;RO;;07;36532;;;326;;202;Europe/Bucharest;2015-11-16
10942059;Nicolae Bălcescu;Nicolae Balcescu;;48.10459;26.78118;P;PPL;RO;;07;36809;;;33;;190;Europe/Bucharest;2015-11-16
10942065;Recia-Verbia;Recia-Verbia;;47.91692;26.49594;P;PPL;RO;;07;39959;;;119;;143;Europe/Bucharest;2015-11-16
10942071;Brăteni;Brateni;;47.86107;27.02053;P;PPL;RO;;07;37100;;;725;;204;Europe/Bucharest;2015-11-16
10942081;Baranca;Baranca;;48.19651;26.47893;P;PPL;RO;;07;37770;;;1207;;126;Europe/Bucharest;2015-11-16
10942092;Izvoare;Izvoare;;48.09562;26.51738;P;PPL;RO;;07;38982;;;53;;147;Europe/Bucharest;2015-11-16
10942155;Ungureni;Ungureni;;47.88176;26.79899;P;PPLA2;RO;;07;39417;;;2397;;99;Europe/Bucharest;2015-11-17
10942203;Dobrinăuți-Hapăi;Dobrinauti-Hapai;;47.89387;26.27969;P;PPL;RO;;07;39694;;;268;;300;Europe/Bucharest;2016-01-31
10942240;Racoș;Racos;Alsorakos,Alsórákos;46.02524;25.41075;P;PPLA2;RO;;09;41701;;;2856;;481;Europe/Bucharest;2015-11-19
10942243;Valea Călmățuiului;Valea Calmatuiului;Rubla;44.95963;27.62849;P;PPL;RO;;08;43411;;;75;;24;Europe/Bucharest;2015-11-19
10942250;Bumbăcari;Bumbacari;;44.89554;27.45401;P;PPL;RO;;08;43073;;;63;;41;Europe/Bucharest;2015-11-19
10942255;Gropeni;Gropeni;;45.07547;27.87969;P;PPLA2;RO;;08;43313;;;3296;;11;Europe/Bucharest;2015-11-19
10942257;Brădeanca;Bradeanca;;45.14299;27.22913;P;PPL;RO;;08;43466;;;0;;47;Europe/Bucharest;2015-11-19
10942258;Arbănași;Arbanasi;;45.39898;26.73688;P;PPL;RO;;11;45003;;;8;;400;Europe/Bucharest;2015-11-19
10942260;Smârdan;Smardan;;45.2867;28.00368;P;PPLA2;RO;;37;161286;;;1077;;5;Europe/Bucharest;2015-11-19
10942289;Bălaia;Balaia;;45.01323;26.82943;P;PPL;RO;;11;49545;;;219;;71;Europe/Bucharest;2015-11-20
10942291;Valea Salciei-Cătun;Valea Salciei-Catun;;45.47165;26.82453;P;PPL;RO;;11;50068;;;96;;440;Europe/Bucharest;2015-11-20
10942294;Agadici;Agadici;Agadics;45.10913;21.69559;P;PPL;RO;;12;51118;;;202;;180;Europe/Bucharest;2015-11-20
10942295;Marila;Marila;Marillavoelgy,Marillavölgy;45.06212;21.77749;P;PPL;RO;;12;51118;;;33;;670;Europe/Bucharest;2015-11-20
10942312;Negiudin;Negiudin;;45.05998;22.39592;P;PPL;RO;;12;52160;;;94;;775;Europe/Bucharest;2015-11-20
10942325;Văleni;Valeni;;45.91193;27.05546;P;PPL;RO;;40;177799;;;56;;249;Europe/Bucharest;2015-11-21
10942326;Grozăvești;Grozavesti;;47.03728;26.06353;P;PPL;RO;;28;122953;;;393;;614;Europe/Bucharest;2015-11-21
10942327;Țărculești;Tarculesti;;45.07202;26.2516;P;PPL;RO;;30;133615;;;641;;156;Europe/Bucharest;2015-11-21
10942328;Lunca;Lunca;;47.88879;26.22129;P;PPL;RO;;34;151246;;;265;;282;Europe/Bucharest;2015-11-21
10942360;Constantin Brâncoveanu;Constantin Brancoveanu;;44.47842;27.41274;P;PPL;RO;;41;93487;;;1054;;39;Europe/Bucharest;2015-11-23
10942361;Peștera;Pestera;Pestes;47.18792;23.74525;P;PPL;RO;;13;55008;;;0;;404;Europe/Bucharest;2015-11-23
10942362;Blidărești;Blidaresti;Talosfalva,Tálosfalva;47.1068;23.56772;P;PPL;RO;;13;56096;;;16;;379;Europe/Bucharest;2015-11-23
10942363;Bonțida;Bontida;Bonchida;46.9155;23.81475;P;PPLA2;RO;;13;56210;;;2979;;276;Europe/Bucharest;2015-11-23
10942364;Bogata;Bogata;Bogatpuszta,Bogátpuszta;46.51512;23.8129;P;PPL;RO;;13;56425;;;869;;344;Europe/Bucharest;2015-11-23
10942365;Hodaie;Hodaie;;46.83257;24.1327;P;PPL;RO;;13;56773;;;106;;297;Europe/Bucharest;2015-11-23
10942366;Valea Cășeielului;Valea Caseielului;Kesiel;47.32874;23.92646;P;PPL;RO;;13;57083;;;97;;425;Europe/Bucharest;2015-11-23
10942368;Luna;Luna;Aranyoslona,Aranyoslóna;46.50659;23.91959;P;PPLA2;RO;;13;58311;;;2392;;297;Europe/Bucharest;2015-11-23
10942370;Turmași;Turmasi;Tormasdulo,Tormásdűlő;46.80148;24.00769;P;PPL;RO;;13;58623;;;56;;395;Europe/Bucharest;2015-11-23
10942373;Clapa;Clapa;Szentkiralyi tanya,Szentkirályi tanya;46.5738;24.02836;P;PPL;RO;;13;59693;;;87;;367;Europe/Bucharest;2015-11-23
10942401;Culmea;Culmea;;44.25759;28.46643;P;PPL;RO;;14;60687;;;1059;;45;Europe/Bucharest;2015-11-24
10942424;Miculești;Miculesti;;45.09591;25.4438;P;PPL;RO;;16;65921;;;464;;422;Europe/Bucharest;2015-11-24
10942458;Valea Voievozilor;Valea Voievozilor;;44.93805;25.48518;P;PPL;RO;;16;65431;;;3023;;272;Europe/Bucharest;2015-11-25
10942462;Ocolna;Ocolna;;43.87917;24.13405;P;PPL;RO;;17;70637;;;1336;;102;Europe/Bucharest;2015-11-25
10942602;Vișina;Visina;;45.99812;27.27391;P;PPL;RO;;18;77587;;;458;;268;Europe/Bucharest;2015-11-27
10942609;Hulubești;Hulubesti;Stramba,Strâmba;44.16748;25.94146;P;PPL;RO;;42;101662;;;1751;;57;Europe/Bucharest;2015-11-27
10942610;Găiseanca;Gaiseanca;;44.45687;25.58818;P;PPL;RO;;42;102348;;;521;;111;Europe/Bucharest;2015-11-27
10942611;Vlașin;Vlasin;Principele Nicolae;44.10025;25.85809;P;PPL;RO;;42;104975;;;572;;84;Europe/Bucharest;2015-11-27
10942613;Bolboasa;Bolboasa;;44.74172;23.20649;P;PPL;RO;;19;79077;;;337;;199;Europe/Bucharest;2015-11-27
10942929;Priporu;Priporu;;44.92942;22.97355;P;PPL;RO;;19;79656;;;53;;217;Europe/Bucharest;2015-12-01
10942938;Cartier Militari;Cartier Militari;;44.43832;26.03944;P;PPLX;RO;;10;179132;11055039;;0;92;91;Europe/Bucharest;2016-10-26
10942981;Gămani;Gamani;;45.13793;23.425;P;PPL;RO;;19;80908;;;58;;359;Europe/Bucharest;2015-12-03
10942982;Sura;Sura;;44.75674;23.15938;P;PPL;RO;;19;82047;;;422;;193;Europe/Bucharest;2015-12-03
10943002;Aluniș;Alunis;Szekelymagyaros,Székelymagyaros;46.26435;25.18368;P;PPL;RO;;20;85127;;;151;;455;Europe/Bucharest;2015-12-04
10943032;Crăciunești;Craciunesti;Krecsunesd;46.01295;22.87028;P;PPL;RO;;21;88092;;;262;;233;Europe/Bucharest;2015-12-04
10943036;Gurasada;Gurasada;Guraszada,Guraszáda;45.95483;22.59491;P;PPLA2;RO;;21;89687;;;395;;181;Europe/Bucharest;2015-12-04
10943037;Dudești;Dudesti;Dudesd;46.05104;22.8132;P;PPL;RO;;21;90208;;;73;;596;Europe/Bucharest;2015-12-04
10944706;Amara Nouă;Amara Noua;;44.61401;27.34208;P;PPL;RO;;22;92836;;;7;;27;Europe/Bucharest;2015-12-07
10944969;Gheorghe Doja;Gheorghe Doja;Principesa Elena,Valea lui Siman,Valea lui Șiman;44.61622;27.1874;P;PPLA2;RO;;22;93600;;;2555;;37;Europe/Bucharest;2015-12-07
10946710;Fântânele;Fantanele;;47.50935;27.31678;P;PPL;RO;;23;95667;;;377;;53;Europe/Bucharest;2015-12-07
10947191;Buda;Buda;;47.1197;27.07185;P;PPL;RO;;23;96058;;;293;;113;Europe/Bucharest;2015-12-07
10947598;Horodiștea;Horodistea;;47.35344;26.9097;P;PPL;RO;;23;96478;;;542;;244;Europe/Bucharest;2015-12-07
10948152;Băiceni;Baiceni;;47.29903;26.92643;P;PPL;RO;;23;96664;;;300;;173;Europe/Bucharest;2015-12-07
11000591;Valea Cufundoasă;Valea Cufundoasa;Melypatak,Mélypatak;47.93671;23.94403;P;PPL;RO;;25;106559;;;502;;287;Europe/Bucharest;2015-12-09
11000948;Balota;Balota;;44.61934;22.79934;P;PPL;RO;;26;113233;;;57;;304;Europe/Bucharest;2015-12-11
11001089;Valea Albeștiului;Valea Albestiului;Feheregyhazivoelgy,Fehéregyházivölgy,Sarpataki ut,Sárpataki út;46.21648;24.84718;P;PPL;RO;;27;114603;;;0;;404;Europe/Bucharest;2015-12-12
11001396;Iștan-Tău;Istan-Tau;Istento,Istentó;46.65425;24.30101;P;PPL;RO;;27;115389;;;128;;350;Europe/Bucharest;2015-12-15
11001447;Toaca;Toaca;Toka;46.79975;24.9641;P;PPL;RO;;27;117426;;;1871;;557;Europe/Bucharest;2015-12-16
11001448;Cirhagău;Cirhagau;Cserhago,Cserhágó;46.66191;24.10985;P;PPL;RO;;27;118370;;;11;;397;Europe/Bucharest;2015-12-16
11001504;Coasta Mare;Coasta Mare;Nagyoldal;46.69905;24.36503;P;PPL;RO;;27;118995;;;169;;334;Europe/Bucharest;2015-12-16
11001507;Nima Râciului;Nima Raciului;Ruecsinema,Rücsinéma;46.70556;24.4432;P;PPL;RO;;27;118995;;;200;;334;Europe/Bucharest;2015-12-16
11001512;Pripoare;Pripoare;Pripora;46.52273;24.19999;P;PPL;RO;;27;119386;;;51;;358;Europe/Bucharest;2015-12-16
11001520;Vălișoara;Valisoara;Sarkihid,Sárkihíd;46.5355;24.21001;P;PPL;RO;;27;119386;;;3;;334;Europe/Bucharest;2015-12-16
